,item,condition,attraction,violation,model,model_type,model_arch,surp,target_attn,dist_attn,attn_entropy
0,1,a,none,grammatical,gpt2_4_3,gpt2,gpt2,7.9219818115234375,0.41725436,0.034576874,1.1360654
1,1,a,none,grammatical,gpt2_3_6,gpt2,gpt2,7.9219818115234375,0.20030235,0.010309012,1.3995103
2,1,a,none,grammatical,gpt2_6_0,gpt2,gpt2,7.9219818115234375,0.27289903,0.017658047,1.250131
3,1,a,none,grammatical,gpt2_2_9,gpt2,gpt2,7.9219818115234375,0.1741116,0.43966645,1.493359
4,1,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,7.665040016174316,0.3868531,0.024037424,1.0950319
5,1,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,7.665040016174316,0.18857378,0.033201158,1.4513279
6,1,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,7.665040016174316,0.28989902,0.035309173,1.3304797
7,1,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,7.665040016174316,0.19599059,0.36229566,1.5768894
8,1,c,none,semantic,gpt2_4_3,gpt2,gpt2,10.5145263671875,0.41708517,0.10408268,1.3230325
9,1,c,none,semantic,gpt2_3_6,gpt2,gpt2,10.5145263671875,0.29452136,0.011738632,1.4412031
10,1,c,none,semantic,gpt2_6_0,gpt2,gpt2,10.5145263671875,0.41939592,0.03497516,1.4290591
11,1,c,none,semantic,gpt2_2_9,gpt2,gpt2,10.5145263671875,0.1762757,0.28086478,1.537718
12,1,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,10.112394332885742,0.35076672,0.10184664,1.4839671
13,1,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,10.112394332885742,0.15617082,0.3605233,1.5101763
14,1,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,10.112394332885742,0.20402156,0.060475823,1.7342931
15,1,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,10.112394332885742,0.084433995,0.37159887,1.5822288
16,1,e,none,double,gpt2_4_3,gpt2,gpt2,14.261962890625,0.31917554,0.07792673,1.4244342
17,1,e,none,double,gpt2_3_6,gpt2,gpt2,14.261962890625,0.22714412,0.015506472,1.4083362
18,1,e,none,double,gpt2_6_0,gpt2,gpt2,14.261962890625,0.25900206,0.034421135,1.4537218
19,1,e,none,double,gpt2_2_9,gpt2,gpt2,14.261962890625,0.13305083,0.27714634,1.5928559
20,1,h,grammatical,double,gpt2_4_3,gpt2,gpt2,13.674416542053223,0.36856037,0.043024696,1.3543242
21,1,h,grammatical,double,gpt2_3_6,gpt2,gpt2,13.674416542053223,0.2312413,0.054630984,1.5120988
22,1,h,grammatical,double,gpt2_6_0,gpt2,gpt2,13.674416542053223,0.27292207,0.044814397,1.4963633
23,1,h,grammatical,double,gpt2_2_9,gpt2,gpt2,13.674416542053223,0.11533367,0.36044988,1.5430442
24,1,g,semantic,double,gpt2_4_3,gpt2,gpt2,13.347379684448242,0.19685017,0.116846964,1.4508544
25,1,g,semantic,double,gpt2_3_6,gpt2,gpt2,13.347379684448242,0.1233964,0.36092034,1.4217417
26,1,g,semantic,double,gpt2_6_0,gpt2,gpt2,13.347379684448242,0.09504796,0.09763226,1.5688655
27,1,g,semantic,double,gpt2_2_9,gpt2,gpt2,13.347379684448242,0.06993865,0.2954792,1.6875355
28,1,f,double,double,gpt2_4_3,gpt2,gpt2,12.845258712768555,0.21783406,0.32598144,1.5239912
29,1,f,double,double,gpt2_3_6,gpt2,gpt2,12.845258712768555,0.14275196,0.31474325,1.46636
30,1,f,double,double,gpt2_6_0,gpt2,gpt2,12.845258712768555,0.10857438,0.1922065,1.731171
31,1,f,double,double,gpt2_2_9,gpt2,gpt2,12.845258712768555,0.064461224,0.3571202,1.6314864
32,2,a,none,grammatical,gpt2_4_3,gpt2,gpt2,12.04783844947815,0.8049152,0.006948566,1.2081494
33,2,a,none,grammatical,gpt2_3_6,gpt2,gpt2,12.04783844947815,0.14660278,0.10461416,1.80423
34,2,a,none,grammatical,gpt2_6_0,gpt2,gpt2,12.04783844947815,0.23552272,0.016050665,1.7728548
35,2,a,none,grammatical,gpt2_2_9,gpt2,gpt2,12.04783844947815,0.10729448,0.49823043,1.6337761
36,2,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,11.56790554523468,0.7740843,0.014871319,1.3051288
37,2,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,11.56790554523468,0.14461014,0.08791029,1.8048402
38,2,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,11.56790554523468,0.19989486,0.024545262,1.7289689
39,2,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,11.56790554523468,0.09419283,0.54181755,1.5449736
40,2,c,none,semantic,gpt2_4_3,gpt2,gpt2,10.057537078857422,0.88109636,0.0012763075,0.95686734
41,2,c,none,semantic,gpt2_3_6,gpt2,gpt2,10.057537078857422,0.15569048,0.15421908,1.8100729
42,2,c,none,semantic,gpt2_6_0,gpt2,gpt2,10.057537078857422,0.26092666,0.03471533,1.9206059
43,2,c,none,semantic,gpt2_2_9,gpt2,gpt2,10.057537078857422,0.09485638,0.52656937,1.5591657
44,2,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,9.010772705078125,0.62641823,0.094838575,1.5552697
45,2,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,9.010772705078125,0.06206266,0.507295,1.806133
46,2,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,9.010772705078125,0.19447681,0.10360566,2.0513253
47,2,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,9.010772705078125,0.060192827,0.6183071,1.7002386
48,2,e,none,double,gpt2_4_3,gpt2,gpt2,13.04990005493164,0.7810383,0.0008759553,1.2164582
49,2,e,none,double,gpt2_3_6,gpt2,gpt2,13.04990005493164,0.14211796,0.16935033,1.8532951
50,2,e,none,double,gpt2_6_0,gpt2,gpt2,13.04990005493164,0.24100333,0.027485961,1.853564
51,2,e,none,double,gpt2_2_9,gpt2,gpt2,13.04990005493164,0.1471523,0.46768555,1.6757327
52,2,h,grammatical,double,gpt2_4_3,gpt2,gpt2,12.381387710571289,0.7954774,0.0043388363,1.2136422
53,2,h,grammatical,double,gpt2_3_6,gpt2,gpt2,12.381387710571289,0.16185124,0.16447982,1.8806896
54,2,h,grammatical,double,gpt2_6_0,gpt2,gpt2,12.381387710571289,0.22829556,0.06371729,1.9241625
55,2,h,grammatical,double,gpt2_2_9,gpt2,gpt2,12.381387710571289,0.12013081,0.5380886,1.5461295
56,2,g,semantic,double,gpt2_4_3,gpt2,gpt2,12.150230407714844,0.5415329,0.07875408,1.6511649
57,2,g,semantic,double,gpt2_3_6,gpt2,gpt2,12.150230407714844,0.053344376,0.61707485,1.7409332
58,2,g,semantic,double,gpt2_6_0,gpt2,gpt2,12.150230407714844,0.14896281,0.16262734,2.0372565
59,2,g,semantic,double,gpt2_2_9,gpt2,gpt2,12.150230407714844,0.080696665,0.63586575,1.6761184
60,2,f,double,double,gpt2_4_3,gpt2,gpt2,10.514215469360352,0.5287406,0.20731351,1.6896977
61,2,f,double,double,gpt2_3_6,gpt2,gpt2,10.514215469360352,0.06426868,0.6137849,1.751363
62,2,f,double,double,gpt2_6_0,gpt2,gpt2,10.514215469360352,0.15120272,0.17597802,2.068414
63,2,f,double,double,gpt2_2_9,gpt2,gpt2,10.514215469360352,0.057612784,0.7256213,1.3971281
64,3,a,none,grammatical,gpt2_4_3,gpt2,gpt2,9.631940841674805,0.49279326,0.04874384,1.3059046
65,3,a,none,grammatical,gpt2_3_6,gpt2,gpt2,9.631940841674805,0.11855572,0.25291434,1.7826407
66,3,a,none,grammatical,gpt2_6_0,gpt2,gpt2,9.631940841674805,0.24710038,0.02262434,1.6985977
67,3,a,none,grammatical,gpt2_2_9,gpt2,gpt2,9.631940841674805,0.051521953,0.40760195,1.5419436
68,3,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,9.179433822631836,0.4477504,0.03767137,1.2386819
69,3,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,9.179433822631836,0.13058336,0.17619939,1.7701709
70,3,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,9.179433822631836,0.22560999,0.05802331,1.7833589
71,3,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,9.179433822631836,0.03815627,0.4558032,1.4550903
72,3,c,none,semantic,gpt2_4_3,gpt2,gpt2,11.23580276966095,0.4250841,0.06585042,1.4558523
73,3,c,none,semantic,gpt2_3_6,gpt2,gpt2,11.23580276966095,0.09771713,0.20124553,1.7604487
74,3,c,none,semantic,gpt2_6_0,gpt2,gpt2,11.23580276966095,0.066730134,0.03625552,1.1170195
75,3,c,none,semantic,gpt2_2_9,gpt2,gpt2,11.23580276966095,0.034824893,0.4617649,1.3099271
76,3,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,9.40974759310484,0.40490988,0.1602136,1.5735549
77,3,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,9.40974759310484,0.0700518,0.24766384,1.7523277
78,3,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,9.40974759310484,0.089601785,0.05622539,1.2866851
79,3,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,9.40974759310484,0.04413424,0.32853347,1.3988609
80,3,e,none,double,gpt2_4_3,gpt2,gpt2,13.196752548217773,0.32289732,0.09249571,1.5217237
81,3,e,none,double,gpt2_3_6,gpt2,gpt2,13.196752548217773,0.082714476,0.22369301,1.7407985
82,3,e,none,double,gpt2_6_0,gpt2,gpt2,13.196752548217773,0.21591796,0.044777945,1.7157121
83,3,e,none,double,gpt2_2_9,gpt2,gpt2,13.196752548217773,0.044264622,0.4172448,1.5211077
84,3,h,grammatical,double,gpt2_4_3,gpt2,gpt2,13.009663581848145,0.29554042,0.06942851,1.4307913
85,3,h,grammatical,double,gpt2_3_6,gpt2,gpt2,13.009663581848145,0.073777296,0.14549844,1.6203738
86,3,h,grammatical,double,gpt2_6_0,gpt2,gpt2,13.009663581848145,0.17634341,0.06632961,1.7329627
87,3,h,grammatical,double,gpt2_2_9,gpt2,gpt2,13.009663581848145,0.028158214,0.5320142,1.3411405
88,3,g,semantic,double,gpt2_4_3,gpt2,gpt2,10.49840259552002,0.17328224,0.1044509,1.6679188
89,3,g,semantic,double,gpt2_3_6,gpt2,gpt2,10.49840259552002,0.067603864,0.23263676,1.6548331
90,3,g,semantic,double,gpt2_6_0,gpt2,gpt2,10.49840259552002,0.1479313,0.1434242,1.7487887
91,3,g,semantic,double,gpt2_2_9,gpt2,gpt2,10.49840259552002,0.044194058,0.29237345,1.6202075
92,3,f,double,double,gpt2_4_3,gpt2,gpt2,11.373445510864258,0.198869,0.17013618,1.6837175
93,3,f,double,double,gpt2_3_6,gpt2,gpt2,11.373445510864258,0.0582144,0.23151639,1.595568
94,3,f,double,double,gpt2_6_0,gpt2,gpt2,11.373445510864258,0.17139432,0.13148105,1.7742517
95,3,f,double,double,gpt2_2_9,gpt2,gpt2,11.373445510864258,0.034838174,0.3588725,1.570922
96,4,a,none,grammatical,gpt2_4_3,gpt2,gpt2,11.385662078857422,0.19044645,0.26633656,1.5914056
97,4,a,none,grammatical,gpt2_3_6,gpt2,gpt2,11.385662078857422,0.01849577,0.29468542,1.6439247
98,4,a,none,grammatical,gpt2_6_0,gpt2,gpt2,11.385662078857422,0.075899296,0.18610312,1.596181
99,4,a,none,grammatical,gpt2_2_9,gpt2,gpt2,11.385662078857422,0.03933432,0.6395981,1.1639643
100,4,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,11.279042720794678,0.21181267,0.2759573,1.5418535
101,4,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,11.279042720794678,0.019671198,0.22846879,1.6280026
102,4,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,11.279042720794678,0.06568015,0.19824016,1.5604479
103,4,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,11.279042720794678,0.04596534,0.57486826,1.2803532
104,4,c,none,semantic,gpt2_4_3,gpt2,gpt2,11.984169244766235,0.034370527,0.042505797,1.3716824
105,4,c,none,semantic,gpt2_3_6,gpt2,gpt2,11.984169244766235,0.02572198,0.22324921,1.81393
106,4,c,none,semantic,gpt2_6_0,gpt2,gpt2,11.984169244766235,0.037919182,0.10039378,1.5152032
107,4,c,none,semantic,gpt2_2_9,gpt2,gpt2,11.984169244766235,0.028550057,0.42639744,1.5896987
108,4,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,10.42405652999878,0.026061399,0.050947264,1.2813151
109,4,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,10.42405652999878,0.024260208,0.27645284,1.8168459
110,4,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,10.42405652999878,0.037395634,0.067215055,1.44136
111,4,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,10.42405652999878,0.039771177,0.17810838,1.8060468
112,4,e,none,double,gpt2_4_3,gpt2,gpt2,10.688106536865234,0.063451454,0.045697004,1.7351506
113,4,e,none,double,gpt2_3_6,gpt2,gpt2,10.688106536865234,0.03926354,0.29753774,1.8160512
114,4,e,none,double,gpt2_6_0,gpt2,gpt2,10.688106536865234,0.053627435,0.23937966,1.7794691
115,4,e,none,double,gpt2_2_9,gpt2,gpt2,10.688106536865234,0.027077865,0.3157032,1.7283244
116,4,h,grammatical,double,gpt2_4_3,gpt2,gpt2,10.452725410461426,0.07846303,0.11835776,1.7481257
117,4,h,grammatical,double,gpt2_3_6,gpt2,gpt2,10.452725410461426,0.034748446,0.2854304,1.7673408
118,4,h,grammatical,double,gpt2_6_0,gpt2,gpt2,10.452725410461426,0.060335916,0.37333596,1.6621923
119,4,h,grammatical,double,gpt2_2_9,gpt2,gpt2,10.452725410461426,0.029128058,0.2547161,1.7728344
120,4,g,semantic,double,gpt2_4_3,gpt2,gpt2,8.285438537597656,0.046051554,0.07932943,1.7097137
121,4,g,semantic,double,gpt2_3_6,gpt2,gpt2,8.285438537597656,0.03781332,0.3558381,1.7836146
122,4,g,semantic,double,gpt2_6_0,gpt2,gpt2,8.285438537597656,0.060187243,0.1326754,1.7371721
123,4,g,semantic,double,gpt2_2_9,gpt2,gpt2,8.285438537597656,0.028823603,0.21417928,1.8016219
124,4,f,double,double,gpt2_4_3,gpt2,gpt2,7.477705001831055,0.07455877,0.13761072,1.6903408
125,4,f,double,double,gpt2_3_6,gpt2,gpt2,7.477705001831055,0.032001913,0.36650446,1.6961756
126,4,f,double,double,gpt2_6_0,gpt2,gpt2,7.477705001831055,0.07138576,0.33034712,1.7350507
127,4,f,double,double,gpt2_2_9,gpt2,gpt2,7.477705001831055,0.025401328,0.24269846,1.7803994
128,5,a,none,grammatical,gpt2_4_3,gpt2,gpt2,12.397627830505371,0.2958122,0.10019784,1.2693826
129,5,a,none,grammatical,gpt2_3_6,gpt2,gpt2,12.397627830505371,0.09571877,0.3460351,1.6950543
130,5,a,none,grammatical,gpt2_6_0,gpt2,gpt2,12.397627830505371,0.33794624,0.16907555,1.664564
131,5,a,none,grammatical,gpt2_2_9,gpt2,gpt2,12.397627830505371,0.04559237,0.4625428,1.4455078
132,5,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,12.663505554199219,0.23304819,0.15952966,1.2201607
133,5,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,12.663505554199219,0.09963098,0.3491647,1.667404
134,5,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,12.663505554199219,0.31314692,0.18137665,1.6928928
135,5,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,12.663505554199219,0.03859622,0.47094882,1.4204826
136,5,c,none,semantic,gpt2_4_3,gpt2,gpt2,12.689902305603027,0.32908523,0.20579042,1.4644217
137,5,c,none,semantic,gpt2_3_6,gpt2,gpt2,12.689902305603027,0.059746336,0.20167428,1.7820387
138,5,c,none,semantic,gpt2_6_0,gpt2,gpt2,12.689902305603027,0.31920698,0.22165138,1.6166596
139,5,c,none,semantic,gpt2_2_9,gpt2,gpt2,12.689902305603027,0.046129115,0.53206235,1.3918858
140,5,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,12.496731758117676,0.37698796,0.049155593,1.3378702
141,5,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,12.496731758117676,0.026140345,0.4387477,1.4536843
142,5,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,12.496731758117676,0.23613377,0.23729154,1.7176373
143,5,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,12.496731758117676,0.055464823,0.4215104,1.5023143
144,5,e,none,double,gpt2_4_3,gpt2,gpt2,10.45426082611084,0.18340321,0.15972687,1.4597768
145,5,e,none,double,gpt2_3_6,gpt2,gpt2,10.45426082611084,0.052690916,0.20506518,1.7460709
146,5,e,none,double,gpt2_6_0,gpt2,gpt2,10.45426082611084,0.109799854,0.25527298,1.5083958
147,5,e,none,double,gpt2_2_9,gpt2,gpt2,10.45426082611084,0.03386338,0.43674654,1.4686202
148,5,h,grammatical,double,gpt2_4_3,gpt2,gpt2,10.540557861328125,0.17417718,0.24371077,1.516356
149,5,h,grammatical,double,gpt2_3_6,gpt2,gpt2,10.540557861328125,0.052330144,0.1582545,1.704545
150,5,h,grammatical,double,gpt2_6_0,gpt2,gpt2,10.540557861328125,0.096932024,0.32097584,1.4772136
151,5,h,grammatical,double,gpt2_2_9,gpt2,gpt2,10.540557861328125,0.031429816,0.48048174,1.4031799
152,5,g,semantic,double,gpt2_4_3,gpt2,gpt2,10.578221321105957,0.23343125,0.06685908,1.351171
153,5,g,semantic,double,gpt2_3_6,gpt2,gpt2,10.578221321105957,0.02273,0.35205996,1.5485882
154,5,g,semantic,double,gpt2_6_0,gpt2,gpt2,10.578221321105957,0.096996315,0.17448442,1.7371868
155,5,g,semantic,double,gpt2_2_9,gpt2,gpt2,10.578221321105957,0.03918562,0.40378624,1.4555682
156,5,f,double,double,gpt2_4_3,gpt2,gpt2,9.640596389770508,0.27014452,0.08158714,1.4101075
157,5,f,double,double,gpt2_3_6,gpt2,gpt2,9.640596389770508,0.023856444,0.32317835,1.5262136
158,5,f,double,double,gpt2_6_0,gpt2,gpt2,9.640596389770508,0.10697859,0.20964833,1.7181236
159,5,f,double,double,gpt2_2_9,gpt2,gpt2,9.640596389770508,0.04050651,0.37153327,1.461092
160,6,a,none,grammatical,gpt2_4_3,gpt2,gpt2,8.419658660888672,0.8113925,0.03593713,0.66168404
161,6,a,none,grammatical,gpt2_3_6,gpt2,gpt2,8.419658660888672,0.059232324,0.12029118,1.7034551
162,6,a,none,grammatical,gpt2_6_0,gpt2,gpt2,8.419658660888672,0.13756669,0.04506277,1.7445109
163,6,a,none,grammatical,gpt2_2_9,gpt2,gpt2,8.419658660888672,0.035077956,0.59264493,1.316748
164,6,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,8.142728805541992,0.7850751,0.08109286,0.76405174
165,6,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,8.142728805541992,0.05226229,0.10888756,1.6071663
166,6,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,8.142728805541992,0.11651012,0.08486726,1.8530781
167,6,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,8.142728805541992,0.037116993,0.5397326,1.4083357
168,6,c,none,semantic,gpt2_4_3,gpt2,gpt2,10.611273288726807,0.6161488,0.2091138,1.0985179
169,6,c,none,semantic,gpt2_3_6,gpt2,gpt2,10.611273288726807,0.045212403,0.10519655,1.7297673
170,6,c,none,semantic,gpt2_6_0,gpt2,gpt2,10.611273288726807,0.12300908,0.068067014,1.7049505
171,6,c,none,semantic,gpt2_2_9,gpt2,gpt2,10.611273288726807,0.112601094,0.46829173,1.5813131
172,6,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,9.977086305618286,0.66606,0.04599157,1.0735176
173,6,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,9.977086305618286,0.024613988,0.20316212,1.694027
174,6,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,9.977086305618286,0.10735356,0.045309328,1.4309571
175,6,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,9.977086305618286,0.07390142,0.5872749,1.3507633
176,6,e,none,double,gpt2_4_3,gpt2,gpt2,11.400875091552734,0.3639492,0.19620788,1.344459
177,6,e,none,double,gpt2_3_6,gpt2,gpt2,11.400875091552734,0.053135604,0.1411816,1.8042283
178,6,e,none,double,gpt2_6_0,gpt2,gpt2,11.400875091552734,0.14916727,0.18137838,1.9324539
179,6,e,none,double,gpt2_2_9,gpt2,gpt2,11.400875091552734,0.10536742,0.32911497,1.8016446
180,6,h,grammatical,double,gpt2_4_3,gpt2,gpt2,11.554227828979492,0.32353798,0.44558716,1.2784669
181,6,h,grammatical,double,gpt2_3_6,gpt2,gpt2,11.554227828979492,0.050473254,0.17908236,1.7506368
182,6,h,grammatical,double,gpt2_6_0,gpt2,gpt2,11.554227828979492,0.11221954,0.15783148,1.9049387
183,6,h,grammatical,double,gpt2_2_9,gpt2,gpt2,11.554227828979492,0.08790808,0.4457638,1.6538507
184,6,g,semantic,double,gpt2_4_3,gpt2,gpt2,10.506168365478516,0.37725952,0.101785414,1.3945473
185,6,g,semantic,double,gpt2_3_6,gpt2,gpt2,10.506168365478516,0.03368386,0.23531824,1.7221305
186,6,g,semantic,double,gpt2_6_0,gpt2,gpt2,10.506168365478516,0.12095593,0.11742896,1.8741381
187,6,g,semantic,double,gpt2_2_9,gpt2,gpt2,10.506168365478516,0.052780483,0.591663,1.3668213
188,6,f,double,double,gpt2_4_3,gpt2,gpt2,10.075315475463867,0.5773367,0.11132283,1.3562635
189,6,f,double,double,gpt2_3_6,gpt2,gpt2,10.075315475463867,0.043191586,0.15066335,1.8732225
190,6,f,double,double,gpt2_6_0,gpt2,gpt2,10.075315475463867,0.11390734,0.19368891,2.1065228
191,6,f,double,double,gpt2_2_9,gpt2,gpt2,10.075315475463867,0.031950142,0.6655406,1.7534044
192,7,a,none,grammatical,gpt2_4_3,gpt2,gpt2,11.615154266357422,0.38399807,0.030922886,1.1201816
193,7,a,none,grammatical,gpt2_3_6,gpt2,gpt2,11.615154266357422,0.081004374,0.24824104,1.8083999
194,7,a,none,grammatical,gpt2_6_0,gpt2,gpt2,11.615154266357422,0.04716912,0.040106792,1.7757096
195,7,a,none,grammatical,gpt2_2_9,gpt2,gpt2,11.615154266357422,0.034803413,0.59378797,1.3922336
196,7,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,11.132527351379395,0.4106589,0.11036172,1.2406232
197,7,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,11.132527351379395,0.07453633,0.27569965,1.765999
198,7,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,11.132527351379395,0.0491164,0.102108955,1.8379738
199,7,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,11.132527351379395,0.03171622,0.61116225,1.3429
200,7,c,none,semantic,gpt2_4_3,gpt2,gpt2,6.530750274658203,0.8340101,0.00830323,0.619028
201,7,c,none,semantic,gpt2_3_6,gpt2,gpt2,6.530750274658203,0.05318293,0.0620999,1.5599784
202,7,c,none,semantic,gpt2_6_0,gpt2,gpt2,6.530750274658203,0.21202846,0.020806821,1.8228108
203,7,c,none,semantic,gpt2_2_9,gpt2,gpt2,6.530750274658203,0.035732668,0.52648497,1.5127856
204,7,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,4.31623649597168,0.7585435,0.009576011,0.8312989
205,7,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,4.31623649597168,0.056513138,0.107496016,1.714927
206,7,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,4.31623649597168,0.21453631,0.070835665,1.9334446
207,7,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,4.31623649597168,0.04674902,0.3780268,1.7606976
208,7,e,none,double,gpt2_4_3,gpt2,gpt2,9.340470314025879,0.4171822,0.022749892,1.1135464
209,7,e,none,double,gpt2_3_6,gpt2,gpt2,9.340470314025879,0.04818383,0.071760975,1.5421592
210,7,e,none,double,gpt2_6_0,gpt2,gpt2,9.340470314025879,0.1755556,0.018477635,1.7587637
211,7,e,none,double,gpt2_2_9,gpt2,gpt2,9.340470314025879,0.041137785,0.4931001,1.4913228
212,7,h,grammatical,double,gpt2_4_3,gpt2,gpt2,8.48246955871582,0.44382206,0.12511894,1.2914593
213,7,h,grammatical,double,gpt2_3_6,gpt2,gpt2,8.48246955871582,0.037378315,0.090507776,1.538402
214,7,h,grammatical,double,gpt2_6_0,gpt2,gpt2,8.48246955871582,0.15698631,0.040901087,1.7825779
215,7,h,grammatical,double,gpt2_2_9,gpt2,gpt2,8.48246955871582,0.030776165,0.5973169,1.2960005
